10  8   8   8
0 0 0 0 0 0 0 0 0 0 
0 3ee26f9b 3ea87513 3eb152f9 3e6b30c9 3f0d869f 3e720e33 3ef6d156 3f2aa5b4 0 
0 3f0945ec 3e5e1e2d 3e92be7d 3f49c7ca 3f39432b 3f6bbce7 3e5e0162 3effd298 0 
0 3e058029 3f79d4c3 3eee9045 3f79eff9 3e527191 3e100cff 3eb94a11 3f602975 0 
0 3f62826a 3f214e72 3d413f0d 3f0b6eae 3f74699f 3ec8365f 3f542908 3f3e244a 0 
0 3f2fbb16 3f3caa81 3e80bf86 3f461ee8 3f79e85e 3f483956 3eff4997 3f4ac191 0 
0 3f4ad2d0 3f731964 3f578174 3f169139 3f43c01a 3ebc9496 3f5a183c 3f60bdb4 0 
0 3f5246fe 3e5c6d49 3eac1928 3f1aab5b 3ec4ecb3 3f4a8173 3ed36923 3eb30827 0 
0 3e8e74da 3f7c5e70 3e8deebb 3e2cf364 3f3315e2 3e578558 3e0be79d 3f54e0a0 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 3e9fa4ab 3f02f6ed 3f785ab4 3f10daea 3f29db16 3eacb1bf 3f71b398 3e19853d 0 
0 3f35f49d 3e47e656 3eaa8029 3ec95677 3f6ac91b 3f2b88a1 3f62caf9 3ebaf737 0 
0 3e9b70ad 3e59462e 3db68875 3ca13fb8 3d97f8c6 3f0a1647 3e7d6995 3ebe6402 0 
0 3dc8946c 3f7c2f5d 3f7135d3 3e8d0f75 3f644db1 3e6c9a0e 3f7c47d9 3f751d70 0 
0 3f338128 3ecbaae3 3ec33f1b 3e2a2ff9 3f79f36c 3f2f4e31 3e85399f 3f0d75d6 0 
0 3f2ae11b 3f34b5a3 3f604e8f 3ee91672 3f202f63 3e2a1532 3e80b32a 3f1023ed 0 
0 3f076bb1 3dbf45aa 3e1d9a48 3d64daee 3e88702e 3ef7ec40 3eae0bfa 3f7479b9 0 
0 3f7b1edf 3f37777f 3f0c5744 3f1fc46d 3f027a41 3f5a83e0 3f19ff79 3cc847c2 0 
0 0 0 0 0 0 0 0 0 0 

3f4e81bd 3db807ea 3f1d1226 
3f2eff87 3f5df212 3ee19f7d 
3c9ad6ec 3f510562 3ed2a50e 

3df959d0 3f0867da 3f5546fb 
3f03da58 3dfad1f0 3f567cc3 
3f26dd91 3d9a6e37 3f1b589d 

3dd712f6 3f192ae8 3f30b91e 
3f1e18b7 3ebf362f 3f36b3c9 
3d6b6e58 3e9aa19f 3f26bfdd 

3f28a17a 3df9fcdb 3f00319f 
3f0c6145 3f594f4f 3e9033de 
3f056e7c 3e27c996 3f3573ce 

3f7b010e 3ebae947 3e37d83b 
3e1b99de 3f59f6df 3f0f0871 
3ec7fe01 3c749aa7 3e4979f0 

3f695314 3f536142 3f2a3c01 
3f09ea68 3d94348e 3df5a3a7 
3f38b8d1 3f04c10b 3f1e54f1 

3f73f42d 3f632fcc 3e502ccd 
3f66c9b6 3f3c51e6 3f1e8c60 
3f1d3f07 3cb9a5bb 3eb8ea89 

3e609c0c 3f2d2d9c 3cfc7e5f 
3f3044dd 3f2d30c7 3f79f00c 
3f5596ee 3f5c0e9a 3ee9e1b4 

3ee73c35 3dd7329b 3e9af1ec 
3f4e8049 3ec00cab 3d84a3da 
3f3f3f98 3f4e3b27 3eb4b6e6 

3f509b87 3dc68ba1 3f644db0 
3f242bab 3f0b905e 3d268953 
3c2e1602 3ee2d04c 3ebc865b 

3f8719d4 3f85cdff 3f982a06 3fd0277c 3fdccfe0 3fd333d2 3fa2fa31 3fa8e5b9 
3fa7af62 40115337 3ffdb5ab 402e95fa 400c8d49 401ad415 4015b24b 3fe03f92 
3fda5eca 40146b0e 401d7349 4035c1dc 4047f173 3ff32ad8 4036ac8b 3fec993c 
40213648 40179abf 402b5acb 4023667e 40597bc5 4027a62e 402f9f73 400f2dc3 
401b1beb 4049eae7 4036d5c8 40306b3e 405169e2 4062da77 404e6b6f 401fb8ec 
4018383c 4035bcf5 4050756d 403ce67f 40447c3a 404d10c1 40423b2b 40070d07 
4005fd27 4043edf8 400e31e6 402386ac 40219c0a 4022da94 401b0e9e 40021dbd 
3f61abc2 4003887d 3fc816f1 3f9a51c9 3fe9368b 3fad834d 3fc25ec5 3f96e407 

3f007bd6 3f8c8cf7 3f85d686 3fad73c0 3fc16e5d 3fb1f4fa 3fd45c1d 3f024879 
3fadfa36 3fc03de5 401f28a5 3ffd2368 40217616 3fd02760 401a4a64 3f637e80 
3fdfe36b 3fd3252b 403d5459 400f67b8 4023c581 4015c8db 4010cb5c 3f975af8 
40012320 4009bb8e 403be8d3 401d09db 4007e486 4028883d 40392192 3fb4e2a1 
40155f02 400f1cd0 4029d734 404c3343 402f487d 4044c53c 4044a40a 3fbc6993 
40042856 402af243 401f162b 4039a32a 4037ef5d 402a8965 4033cad9 3fa98a63 
4007426f 401d5bf0 401e9db0 400f5fc9 40063d7e 400c779b 402886ca 3f7a8f7c 
3fbd0f93 3f7db4b6 3fb22892 3fb767f2 3fa4acfa 3fa80c4c 3fb6f962 3ed14e4b 

3f3405f0 3f6d1ad4 3f8df001 3fb5c63d 3fb0ba2e 3f9e0932 3f9f7027 3f35c39c 
3fc2cbca 3fda379e 4002579c 3fffd7cb 40091856 3fe24899 401de9d9 3f8710bd 
3ff25a99 3fb777d4 40277e64 4025b890 4020608f 3ff6ac9d 400b30e9 3f92745d 
400e0713 400a453d 401e475b 4024aa9e 40092cb7 40132fb0 402835bf 3fcf39f7 
4026b04b 4010c0dd 4010e027 4036b868 40337036 40378104 40489a41 3fb98096 
401201a3 401d999c 4025c450 4039a86e 40321da9 402a6523 401fd3d9 3fc1391c 
40143b22 40237a11 3ff98827 400cb3e6 400da047 3ff4601f 402911d8 3fa130d5 
3fb94842 3f97ab94 3fbca114 3fb2aa72 3fad7e1c 3fb413a1 3fac48e4 3f25c2b0 

3f35ae81 3f919aa5 3fa0ff97 3faa8131 3fec052d 3fa92161 3fcc50ca 3f833548 
3fb95b3a 3fcf9b4b 400f0ea0 40072409 40124215 4010aec0 400867d3 3fa313a3 
3f935a66 4009bdce 402006d1 40252046 40224736 400b9282 40185654 3fd97f85 
40045a07 400838a7 402ce4b8 400f1961 4044d674 401a6f3d 403033fc 3fe8f16e 
40011199 403af8cc 40250c60 402e3e5e 40359773 405f9e5f 40309ef2 400ae473 
3fd70a14 40363abc 40399c72 401e3547 40423627 40254d5b 4037dd39 3ff47b2f 
4004c3c4 401292a9 40119e5d 401ee50c 3ff2e56e 401e12ae 4018fd87 3fb3142d 
3f38cde8 3fe6cd1a 3fa787f9 3f7aec7c 3fcb1b2d 3f94268a 3f9b2828 3f8c385c 

3f1c6e93 3f4f5757 3f37a055 3f52bb3d 3f919ac4 3f64c8d7 3fa3d859 3f3ba272 
3f7e029e 3f998599 3fe4d98e 3ff07871 40087286 3ff119d1 3fae8f65 3faa1605 
3f839a31 40086ea9 3ff39fb7 3ff70997 3ff4402a 3ffd660b 400ce906 3fc3e11c 
3fbde1a7 3fcbfcc6 400bed60 400a019f 40291d9f 3fdfff5f 4004de1b 3fd1d7b2 
